2025-03-31 16:26:41,830 - INFO - Step 6: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:26:42,616 - INFO - Step 6: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:26:42,638 - INFO - Step 6: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:26:43,171 - INFO - Step 6: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:43,764 - INFO - Step 6: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:51,657 - INFO - Step 7: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:51,850 - INFO - Step 7: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:52,635 - INFO - Step 7: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:26:52,651 - INFO - Step 7: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:53,187 - INFO - Step 7: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:53,776 - INFO - Step 7: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:27:01,669 - INFO - Step 8: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:27:01,865 - INFO - Step 8: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:27:02,647 - INFO - Step 8: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:27:02,663 - INFO - Step 8: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:27:03,204 - INFO - Step 8: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:27:03,788 - INFO - Step 8: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:27:11,689 - INFO - Step 9: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:27:11,879 - INFO - Step 9: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:27:12,659 - INFO - Step 9: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:27:12,674 - INFO - Step 9: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:27:13,221 - INFO - Step 9: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:27:13,801 - INFO - Step 9: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:27:21,710 - INFO - Step 10: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:27:21,895 - INFO - Step 10: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:27:22,671 - INFO - Step 10: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:27:22,685 - INFO - Step 10: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:27:23,234 - INFO - Step 10: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:27:23,820 - INFO - Step 10: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:38:26,284 - INFO - Step 0: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:38:38,434 - INFO - Step 0: Action [0], Reward [0.001], Episode 0, Trade Count 0
